 row no., facName, population, binInc , 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 , 9 , 10  
1,National Public Health Lab,2784, 9.2, 0, 0, 0, 0, 0, 0.0626464, 0.187936, 0.250579, 0.250578, 0.250573
2,Public Health Laboratory Tamale,88136, 38.8, 0.0311764, 0.086923, 0.0808749, 0.112277, 0.130996, 0.199614, 0.255324, 0.0954949, 0.00657216, 0.00241009
3,Ahmadiyya Muslim Hospital,32941, 43.5, 0.011356, 0.0856456, 0.176223, 0.157479, 0.17081, 0.147201, 0.111253, 0.103495, 0.0285672, 0.0147509
4,Akrodie Health Centre,25376, 57.4, 0.0309942, 0.127844, 0.165078, 0.175947, 0.12346, 0.107081, 0.116719, 0.0811173, 0.0516176, 0.0258069
5,Ampenkro Health Centre,16418, 47.9, 0.051261, 0.113913, 0.108215, 0.136689, 0.125296, 0.160187, 0.107142, 0.0628464, 0.0831923, 0.0567853
6,Asumura Health Centre,33976, 59.5, 0.0330302, 0.068814, 0.085332, 0.112862, 0.152093, 0.162826, 0.125355, 0.0945792, 0.100117, 0.0709305
7,Ayomso Health Centre,19344, 48.7, 0.0628668, 0.125731, 0.101552, 0.130565, 0.140237, 0.111224, 0.111224, 0.0967171, 0.0822127, 0.0435253
8,Church of Pentecost Clinic,41469, 50, 0.0180398, 0.0453326, 0.0901609, 0.0971955, 0.127004, 0.131896, 0.147155, 0.158518, 0.109292, 0.0806433
9,Fawohoyeden Health Centre,5656, 20.9, 0.0330803, 0.0661607, 0.0827027, 0.224264, 0.134253, 0.149529, 0.112625, 0.0374956, 0.0827006, 0.0827013
10,Goaso Municipal Hospital,11248, 20.9, 0.016632, 0.0411819, 0.100001, 0.132247, 0.132088, 0.131867, 0.17577, 0.141863, 0.115227, 0.0166338
11,Mim Health Centre,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
12,Asunafo South District Hospital,35569, 53.8, 0.0655792, 0.184495, 0.162676, 0.119606, 0.107964, 0.119791, 0.0715025, 0.0619946, 0.0854571, 0.0272354
13,Sankore Health Centre,63927, 36.7, 0.0205382, 0.0821518, 0.107432, 0.175916, 0.164501, 0.198106, 0.155142, 0.0592985, 0.0325963, 0.00998039
14,Gyedu Health Centre,41161, 43.1, 0.128931, 0.256015, 0.27277, 0.152859, 0.0399885, 0.0334455, 0.0323486, 0.0339736, 0.0314777, 0.0255754
15,Kenyasi Health Centre,6170, 31.1, 0.0918947, 0.210037, 0.131274, 0.0918927, 0.0787653, 0.0918925, 0.0787653, 0.0918932, 0.0787653, 0.0656361
16,Acherensua Health Centre,43709, 36.1, 0.0491839, 0.145322, 0.141574, 0.160259, 0.152178, 0.142957, 0.087619, 0.0553397, 0.0415053, 0.0276704
17,Dadiesoaba Health Centre,33912, 44.3, 0.0238947, 0.0783819, 0.119485, 0.107297, 0.149642, 0.138421, 0.154637, 0.126061, 0.0686796, 0.0355283
18,Hwidiem St Elizabeth Hospital,19765, 29.9, 0.0409843, 0.106572, 0.0975985, 0.131683, 0.147042, 0.166878, 0.165833, 0.0673418, 0.0544448, 0.0232338
19,Bomaa District Hospital ,25564, 20.2, 0.0526363, 0.141755, 0.235893, 0.194438, 0.147631, 0.112052, 0.0580251, 0.0263751, 0.0263735, 0.0105492
20,Duayaw Nkwanta St John Of God Hospital,27462, 14.6, 0.0146099, 0.0925025, 0.131348, 0.184657, 0.112256, 0.122072, 0.122241, 0.102675, 0.0782184, 0.0441753
21,Bechem Government Hospital,43050, 34, 0.0737817, 0.197734, 0.101063, 0.0893328, 0.105137, 0.121329, 0.127394, 0.0795302, 0.0711114, 0.0363342
22,Akrofuom Health Centre,204242, 15, 0.169901, 0.193555, 0.00256395, 0.150453, 0.134151, 0.0480839, 0.186534, 0.11459, 0, 0.00291809
23,Asokwa Health Centre,108236, 33.6, 0.0221202, 0.0244853, 0.0220556, 0.0376687, 0.823731, 0.0206303, 0.0116603, 0.0108821, 0.013787, 0.0164842
24,Fomena Health Centre,28585, 31.3, 0.267695, 0.179611, 0.124038, 0.0947126, 0.0853954, 0.11013, 0.0697153, 0.0315039, 0.0210084, 0.017507
25,New Edubiase Government Hospital,40175, 31.2, 0.47261, 0, 0, 0, 0.00241653, 0.477218, 0.0144986, 0.0169147, 0.0120823, 0.00726121
26,Boamang Health Centre,113571, 20.3, 0.0635711, 0.196339, 0.235353, 0.161484, 0.110027, 0.0808615, 0.0672565, 0.0340418, 0.0203897, 0.0312557
27,Methodist Faith Healing Hospital,44771, 8.4, 0.0515193, 0.0772905, 0.128825, 0.18893, 0.223306, 0.14011, 0.116828, 0.0487758, 0.00858819, 0.0171846
28,Tepa Government Hospital,23652, 33.5, 0.0746795, 0.142902, 0.287338, 0.151701, 0.0896734, 0.0713891, 0.0468096, 0.0575557, 0.0365601, 0.0441741
29,Mankranso Government Hospital,63549, 33, 0.0268403, 0.102114, 0.203597, 0.190114, 0.138755, 0.0960989, 0.0870926, 0.0815582, 0.0559202, 0.0205066
30,Numereso Health Centre,227444, 8.1, 0.0267416, 0.419581, 0.369917, 0.120912, 0.0157049, 0.0173205, 0.0127438, 0.00715663, 0.00763368, 0.00239631
31,St. Martin's Catholic Hospital,29704, 29.2, 0.0528245, 0.0968436, 0.127658, 0.149672, 0.126497, 0.150908, 0.158182, 0.0690837, 0.0455252, 0.0284824
32,Antoakrom Health Centre,45794, 16, 0.0445513, 0.147027, 0.112636, 0.153207, 0.138153, 0.114599, 0.0924251, 0.0924378, 0.0819668, 0.025419
33,Konongo - Odumasi Government Hospital,30789, 26.2, 0.0208355, 0.097923, 0.166484, 0.176671, 0.141726, 0.153774, 0.127567, 0.0550049, 0.0419881, 0.0243048
34,Presby Hospital - Agogo,49086, 31.5, 0.0283057, 0.0648559, 0.0857616, 0.11352, 0.16934, 0.193701, 0.196136, 0.0899286, 0.0360084, 0.0304115
35,Juaso District Hospital,41815, 36.1, 0.0281218, 0.0843628, 0.123717, 0.137618, 0.171545, 0.165934, 0.143056, 0.0973786, 0.0364978, 0.016878
36,Mampong Government Hospital,54757, 26.4, 0.0461448, 0.12004, 0.184986, 0.137933, 0.124571, 0.126684, 0.130209, 0.106754, 0.0229657, 0.00438625
37,Asokore Mampong Health Centre,268034, 10.2, 0.453317, 0.199302, 0.167934, 0.10965, 0.0433248, 0.00968191, 0.00392826, 0.00523783, 0.00261896, 0.00523792
38,Kumasi South Hospital,455118, 7.9, 0.25955, 0.419172, 0.207727, 0.0591467, 0.047191, 0.0024872, 0.00119714, 0.00179574, 0.00119717, 0.000598597
39,Ahenema Kokoben Health Centre,60222, 2.4, 0, 0.075393, 0.223384, 0.0103314, 0, 0.354752, 0.113843, 0.209192, 0, 0.0131874
40,Nyinahin Government Hospital,40404, 53.1, 0.0234445, 0.068378, 0.135184, 0.210501, 0.15433, 0.146513, 0.0976735, 0.0761784, 0.061146, 0.0382731
41,Nkawie-Toase Government Hospital,93466, 27.8, 0.0397144, 0.192205, 0.224604, 0.184707, 0.137662, 0.0840568, 0.0784958, 0.031024, 0.0242381, 0.0050672
42,Abuakwa Government Polyclinic,157608, 14.6, 0.290618, 0.561309, 0.0472503, 0.0279339, 0.020777, 0.0180058, 0.0151819, 0.00682677, 0.00688801, 0.00553934
