Region.hospital,Facility,Dist.to.reg.hosp,tier,Longitude,Latitude ,region,district,xpert,unitID
Ridge Hospital,Sukura Community Clinic,0.0535659,4,-0.25123,5.55116,Greater Accra,Ablekuma Central,no,0
Ridge Hospital,Amoah Memorial Hospital,0.0842945,4,-0.27978,5.58562,Greater Accra,Ablekuma North,no,0
Ridge Hospital,Korle Gonno Polyclinic,0.0346411,4,-0.22329,5.53767,Greater Accra,Accra Metro,no,0
Ridge Hospital,Ogbojo Polyclinic,0.116677,4,-0.14364,5.66499,Greater Accra,Adentan,no,0
Ridge Hospital,Kotobabi Clinic,0.0315701,4,-0.205921,5.59294,Greater Accra,Ayawaso Central,no,0
Ridge Hospital,Ga Central Municipal Clinic,0.0837229,4,-0.27079,5.60494,Greater Accra,Ga Central,no,0
Holy Family Hospital,Akrofuom Health Centre,0.0787359,4,-2.01941,7.61854,Ashanti,Adansi Akrofuom,no,0
Sefwi Wiawso Hospital,Numereso Health Centre,0.645091,4,-1.85489,6.07857,Ashanti,Amansie Central,no,0
Sefwi Wiawso Hospital,Keniago Health Centre,0.49113,4,-2.01931,6.37152,Ashanti,Amansie South,no,0
Komfo Anokye Teaching Hospital,Antoakrom Health Centre,0.298389,4,-1.79297,6.44836,Ashanti,Amansie West,no,0
Komfo Anokye Teaching Hospital,Ananekrom Health Centre,0.651418,4,-1.01522,6.91551,Ashanti,Asante Akim North,no,0
Komfo Anokye Teaching Hospital,Asokore Mampong Health Centre,0.0675761,4,-1.5652,6.71955,Ashanti,Asokore Mampong,no,0
Komfo Anokye Teaching Hospital,Tanoso Community Hospital,0.0711438,4,-1.70031,6.6985,Ashanti,Kwadaso,no,0
Komfo Anokye Teaching Hospital,Central Market Health Centre,0.495961,4,-1.66953,6.20345,Ashanti,Obuasi East,no,0
Komfo Anokye Teaching Hospital,Namong SDA Hospital,0.277932,4,-1.68249,6.97054,Ashanti,Offinso,no,0
Komfo Anokye Teaching Hospital,Oforikrom (Kumasi) Clinic,0.0353242,4,-1.59515,6.68826,Ashanti,Oforikrom,no,0
Komfo Anokye Teaching Hospital,Dawia Health Centre,6076.96,4,-0.9178,7.16347,Ashanti,Sekyere Afram Plains,no,0
Komfo Anokye Teaching Hospital,Kwamang Health Centre,0.451339,4,-1.27437,6.97674,Ashanti,Sekyere Central,no,0
Komfo Anokye Teaching Hospital,Ahmadiya (Sekyere East) Hospital,0.286543,4,-1.38362,6.84546,Ashanti,Sekyere East,yes,0
Komfo Anokye Teaching Hospital,Tarkwa Maakro Hospital,0.0314185,4,-1.63327,6.72892,Ashanti,Suame,no,0
Effia Nkwanta Regional Hospital,VRA Hospital,0.102425,4,-1.65516,4.97429,Western,Shama,yes,0
Sefwi Wiawso Hospital,Juabo Health Centre,0.405637,4,-2.08515,6.14874,Western,Wassa Amenfi Central,no,0
Tamale Teaching Hospital,Kukpalgu Health Centre,0.749168,4,-0.16508,9.75059,Northern,Mion,no,0
Tamale Teaching Hospital,Nanton Health Centre,0.184277,4,-0.72971,9.5518,Northern,Nanton,no,0
Sunyani Regional Hospital,Nsawkaw Hospital,0.219829,4,-2.18906,7.52579,Bono,Tain,yes,0
Ho Teaching Hospital,Avevi Health Centre,0.474151,4,0.81921,6.2667,Volta,Akatsi North,no,0
Tamale Teaching Hospital,Mankarigu Health Centre,0.778596,4,-1.27727,10.0259,Savannah,North Gonja,no,0
Tamale Teaching Hospital,Kpalbe Health Centre,0.382909,4,-0.55531,9.11986,Savannah,North-East Gonja,no,0
St. Anne's Hospital,Damongo District Hospital,0.0398705,4,-1.82691,9.09173,Savannah,West Gonja,yes,0
Holy Family Hospital,Techiman Health Centre,0.0457027,4,-1.94411,7.56218,Bono East,Techiman Municipal,no,0
Cape Coast Teaching Hospital,Bisease Polyclinic,0.440541,5,-0.9888,5.4648,Central,Ajumako-Enyan-Essiam,no,0
REGIONAL HOSPITA KOFORIDUA,St Andrews Catholic Hospital,0.324165,5,0.01798,5.92528,Greater Accra,Shai-Osudoku,no,0
Sunyani Regional Hospital,Techimantia Government Hospital,0.329133,7,-2.02869,7.18136,Ahafo,Tano South,no,0
Ridge Hospital,1 Medical Reception Station(1MRS),0.240554,7,-0.02543,5.72893,Greater Accra,Kpone-Katamanso,no,0
Effia Nkwanta Regional Hospital,2mrs Military Hospital,0.0619608,5,-1.80568,4.91426,Western,Effia-Kwesimintsim,no,0
Ridge Hospital,37 Military Hospital,0.0323137,5,-0.182855,5.59028,Greater Accra,Ayawaso East,yes,0
Holy Family Hospital,A.M.E. Zion Hospital ,0.201285,5,-1.96276,7.40765,Ashanti,Offinso North,no,0
Sefwi Wiawso Hospital,A1 Hospital,0.207888,5,-2.2959,6.302,Ahafo,Asunafo South,no,0
Effia Nkwanta Regional Hospital,ABA Hospital,0.46691,5,-1.99114,5.32072,Western,Tarkwa-Nsuaem,no,0
REGIONAL HOSPITA KOFORIDUA,Abaam Health Centre,0.58851,6,-0.83333,6.21667,Eastern,Kwaebibirem,no,0
Cape Coast Teaching Hospital,Abaasa Health Centre,0.398341,6,-0.944405,5.36947,Central,Ajumako-Enyan-Essiam,no,0
Cape Coast Teaching Hospital,Abaka CHPS,0.20967,7,-1.17753,5.30345,Central,Abura-Asebu-Kwamankese,no,0
Cape Coast Teaching Hospital,Abakrampa Health Centre,0.150777,6,-1.23774,5.25438,Central,Abura-Asebu-Kwamankese,no,0
Ridge Hospital,Abamkrom Health Centre,0.467012,4,-0.63333,5.73333,Eastern,Upper West Akim,no,0
Cape Coast Teaching Hospital,Abandze Health Centre,0.179819,6,-1.0875,5.1972,Central,Mfantsiman,no,0
Ridge Hospital,Abasa CHPS,0.485398,7,-0.67491,5.46763,Central,Gomoa Central,no,0
REGIONAL HOSPITA KOFORIDUA,Abehenease CHPS,0.582635,7,-0.839811,6.10074,Eastern,Kwaebibirem,no,0
REGIONAL HOSPITA KOFORIDUA,Abekwase CHPS,0.492119,7,-0.629989,6.41789,Eastern,Atiwa East,no,0
Sefwi Wiawso Hospital,Abenabena Health Centre,0.589331,6,-1.95261,5.96364,Western,Wassa Amenfi East,no,0
REGIONAL HOSPITA KOFORIDUA,Abenase Health Centre,0.782133,6,-1.03333,6,Eastern,Akyemansa,no,0
Komfo Anokye Teaching Hospital,Abenkyiman Hospital,0.238603,5,-1.58592,6.46312,Ashanti,Bekwai,no,0
Sefwi Wiawso Hospital,Abesewa Gyamang CHPS,0.607176,7,-2.02318,5.82202,Western,Wassa Amenfi East,no,0
REGIONAL HOSPITA KOFORIDUA,Abetifi Health Centre,0.774465,4,-0.75853,6.68694,Eastern,Kwahu East,no,0
Sunyani Regional Hospital,Abirikasu Health Centre,0.536736,6,-2.82997,7.49369,Bono,Jaman South,no,0
REGIONAL HOSPITA KOFORIDUA,Abiriw Clinic,0.204415,7,-0.08941,5.97987,Eastern,Akwapim North,no,0
Ridge Hospital,Ablekuma Health Centre,0.126837,7,-0.307857,5.62696,Greater Accra,Ga Central,no,0
REGIONAL HOSPITA KOFORIDUA,Aboabo  CHPS,0.694438,7,-0.93319,5.93768,Eastern,Birim Central,no,0
Cape Coast Teaching Hospital,Aboabo CHPS,0.482747,7,-1.38307,5.56503,Central,Assin South,no,0
Komfo Anokye Teaching Hospital,Aboabo Health Centre,0.550055,6,-1.34982,6.22393,Ashanti,Adansi Asokwa,no,0
