Region.hospital,Facility,Dist.to.reg.hosp,tier,Longitude,Latitude ,region,district,xpert,unitID
Tamale Teaching Hospital,National Public Health Lab,0,1,-0.2266,5.53719,NORTHERN,TAMALE,yes,1
Tamale Teaching Hospital,Public Health Laboratory Tamale,0,2,-0.823665,9.393575,NORTHERN,TAMALE,yes,2
Goaso Municipal Hospital,Ahmadiyya Muslim Hospital,0.103361,5,-2.5597,6.90181,Ahafo,Asunafo North,yes,3
Goaso Municipal Hospital,Akrodie Health Centre,0.115742,6,-2.5569,6.69505,Ahafo,Asunafo North,no,4
Goaso Municipal Hospital,Ampenkro Health Centre,0.277898,7,-2.7634,6.94357,Ahafo,Asunafo North,no,5
Goaso Municipal Hospital,Asumura Health Centre,0.257484,6,-2.76102,6.90181,Ahafo,Asunafo North,no,6
Goaso Municipal Hospital,Ayomso Health Centre,0.0731677,6,-2.58226,6.76364,Ahafo,Asunafo North,no,7
Goaso Municipal Hospital,Church of Pentecost Clinic,0.319245,7,-2.81151,6.94054,Ahafo,Asunafo North,no,8
Goaso Municipal Hospital,Fawohoyeden Health Centre,0.0846743,7,-2.57275,6.73752,Ahafo,Asunafo North,no,9
Goaso Municipal Hospital,Goaso Municipal Hospital,0,3,-2.52224,6.80548,Ahafo,Asunafo North,yes,10
Goaso Municipal Hospital,Mim Health Centre,0.103359,7,-2.55969,6.90181,Ahafo,Asunafo North,no,11
Goaso Municipal Hospital,Asunafo South District Hospital,0.137115,4,-2.43879,6.69668,Ahafo,Asunafo South,yes,12
Wiawso Govt Hospital,Sankore Health Centre,0.296744,6,-2.5017,6.50285,Ahafo,Asunafo South,no,13
Brong Ahafo Regional Hospital,Gyedu Health Centre,0.276054,6,-2.3248,7.06875,Ahafo,Asutifi North,no,14
Goaso Municipal Hospital,Kenyasi Health Centre,0.217925,4,-2.3857,6.97533,Ahafo,Asutifi North,yes,15
Goaso Municipal Hospital,Acherensua Health Centre,0.284782,6,-2.2971,6.97987,Ahafo,Asutifi South,no,16
Goaso Municipal Hospital,Dadiesoaba Health Centre,0.105579,6,-2.41999,6.77916,Ahafo,Asutifi South,no,17
Goaso Municipal Hospital,Hwidiem St Elizabeth Hospital,0.207274,4,-2.35839,6.93244,Ahafo,Asutifi South,yes,18
Brong Ahafo Regional Hospital,Bomaa District Hospital ,60659.6,7,-2.16787,7.08756,Ahafo,Tano North,no,19
Brong Ahafo Regional Hospital,Duayaw Nkwanta St John Of God Hospital,0.275446,4,-2.0967,7.17559,Ahafo,Tano North,no,20
Brong Ahafo Regional Hospital,Bechem Government Hospital,0.36406,4,-2.05409,7.08988,Ahafo,Tano South,yes,21
Komfo Anokye Teaching Hospital,Akrofuom Health Centre,0.583357,4,-1.65383,6.12383,Ashanti,Akrofuom,no,22
Komfo Anokye Teaching Hospital,Asokwa Health Centre,0.475609,4,-1.48609,6.2533,Ashanti,Adansi Asokwa,no,23
Komfo Anokye Teaching Hospital,Fomena Health Centre,0.442961,4,-1.51002,6.28022,Ashanti,Adansi North,no,24
Komfo Anokye Teaching Hospital,New Edubiase Government Hospital,0.693843,4,-1.39281,6.05456,Ashanti,Adansi South,yes,25
Komfo Anokye Teaching Hospital,Boamang Health Centre,0.234441,4,-1.61712,6.94079,Ashanti,Afigya Kwabre North,no,26
Komfo Anokye Teaching Hospital,Methodist Faith Healing Hospital,0.162585,5,-1.54953,6.8481,Ashanti,Afigya Kwabre South,yes,27
Brong Ahafo Regional Hospital,Tepa Government Hospital,0.377423,4,-2.16102,6.99966,Ashanti,Ahafo Ano North,yes,28
Komfo Anokye Teaching Hospital,Mankranso Government Hospital,0.259465,4,-1.86276,6.82085,Ashanti,Ahafo Ano South West,no,29
Komfo Anokye Teaching Hospital,Numereso Health Centre,0.0902737,4,-1.6717,6.62675,Ashanti,Amansie Central,no,30
Komfo Anokye Teaching Hospital,St. Martin's Catholic Hospital,0.386286,5,-1.8813,6.41353,Ashanti,Amansie South,no,31
