,"	Regional Hospital ",Facility_Name,"	Distance to Reg Hosp ",Maina...Facility.name,Fac.NAME,Admin1,Facility.name,Facility.type,Ownership,LL.source,Lat,Long,FacLong,FacLat,Source,geometry...longitude,geometry.latitude,UnitId,UnitType,UnitTypeName,TypeMainaOverGhana,FacilitySwitch,MainaSwitch,NewFacilityTypes,UnitTypeNaFac,LvlId,Region,CODE,NAME,COMMENT,CODE_1,NAME_1,NEAR_FID,NEAR_DIST,Facility_Name,Longitude,Latitude,geometry,Region,District,Town,facilityID,Xpert,dummy
,National Public Health Lab,National Public Health Lab,0,,,,,,,,,,,,,,,,,,,,,National Public Health Lab,,,,,,,,,,,National Public Health Lab,-0.2266,5.53719,,GREATER ACCRA,ACCRA METROPOLIS,,503,yes,0
,National Public Health Lab,Public Health Zonal Lab1,1.82084,,,,,,,,,,,,,,,,,,,,,Public Health Zonal Lab,,,,,,,,,,,Public Health Zonal Lab1,-1.63015,6.69715,,ASHANTI,KUMASI METROPOLITAN,,2419,yes,0
,National Public Health Lab,Public Health Zonal Lab2,1.65927,,,,,,,,,,,,,,,,,,,,,Public Health Zonal Lab,,,,,,,,,,,Public Health Zonal Lab2,-1.75258,4.8856,,WESTERN,SEKONDI TAKORADI METROPOLIS,,1016,yes,0
,National Public Health Lab,Public Health Zonal Lab3,3.71487,,,,,,,,,,,,,,,,,,,,,Public Health Zonal Lab,,,,,,,,,,,Public Health Zonal Lab3,-0.50141,9.24188,,SAVANNAH,EAST GONJA MUNICIPAL,,2781,yes,0
,Public Health Zonal Lab3,Bolgatanga Regional Hospital,1.58894,,,,,,,,,,,,,,,,,,,,,Regional Hospital,,,,,,,,,,,Bolgatanga Regional Hospital,-0.84935,10.79226,,UPPER EAST,BOLGATANGA MUNICIPAL,,2344,yes,0
,Public Health Zonal Lab2,Central Regional Hospital,0.545927,,,,,,,,,,,,,,,,,,,,,Regional Hospital,,,,,,,,,,,Central Regional Hospital,-1.26603,5.1332,,CENTRAL,CAPE COAST METROPOLITAN,,1240,yes,0
,Public Health Zonal Lab2,Effia Nkwanta Regional Hospital,0.0400275,,,,,,,,,,,,,,,,,,,,,Regional Hospital,,,,,,,,,,,Effia Nkwanta Regional Hospital,-1.74458,4.92482,,WESTERN,SEKONDI TAKORADI METROPOLIS,,1063,yes,0
255,National Public Health Lab,REGIONAL HOSPITA KOFORIDUA,0.560286,NA,REGIONAL HOSPITA KOFORIDUA,NA,NA,NA,NA,NA,NA,NA,-0.25719,6.09664,fac,c(-0.257189999666512,6.09663999993546),GHH02313,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,NA,Regional Hospital,Hospital and Teaching Hospital,GHP004010000000000000,GHP004,2313,REGIONAL HOSPITA KOFORIDUA,KOFORIDUA,95,New Juaben,-1,-1,REGIONAL HOSPITA KOFORIDUA,-0.25719,6.09664,c(-0.257189999666512  6.09663999993546),EASTERN,NEW JUABEN SOUTH MUNICIPAL,,1349,yes,0
,Public Health Zonal Lab1,Kumasi South Government Regional Hospital,0.0636917,,,,,,,,,,,,,,,,,,,,,Hospital,,,,,,,,,,,Kumasi South Government Regional Hospital,-1.58471,6.65252,,ASHANTI,KUMASI METROPOLITAN,,2422,yes,0
,Public Health Zonal Lab1,Sunyani Regional Hospital,0.941868,,,,,,,,,,,,,,,,,,,,,Regional Hospital,,,,,,,,,,,Sunyani Regional Hospital,-2.3142,7.3446,,BONO,SUNYANI MUNICIPAL,,1772,yes,0
,Public Health Zonal Lab3,Upper West Regional Hospital,2.15601,,,,,,,,,,,,,,,,,,,,,Regional Hospital,,,,,,,,,,,Wa Municipal Hospital (Regional),-2.49806,10.05537,,UPPER WEST,WA MUNICIPAL,,2159,yes,0
,National Public Health Lab,Volta Regional Hospital,1.28039,,,,,,,,,,,,,,,,,,,,,Regional Hospital,,,,,,,,,,,Volta Regional Hospital,0.48446,6.60215,,VOLTA,HO MUNICIPAL,,883,yes,0
278,Public Health Zonal Lab3,Tamale Regional Hospital,0.366166,Tamale SDA Hospital,SDA HOSPITAL,Northern,Tamale SDA Hospital,Hospital,FBO,GPS,9.39974,-0.8318,-0.8318,9.39974,both,c(-0.831799999624104,9.3997399995666),GHH01636,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,Hospital,Regional Hospital,Hospital and Teaching Hospital,GHP006009000000000000,GHP006,1636,SDA HOSPITAL,NA,120,Tamale,-1,-1,Tamale SDA Hospital,-0.8318,9.39974,c(-0.831799999624104  9.3997399995666),NORTHERN,TAMALE METROPOLITAN,,1923,yes,0
258,National Public Health Lab,Ridge Hospital,0.0375891,Ridge Hospital,Ridge Hospital,Greater Accra,Ridge Hospital,Hospital,MoH,GPS,5.56238,-0.1987,-0.1987,5.56238,both,c(-0.198699999814724,5.56237999977087),GHH00772,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,Hospital,Regional Hospital,Hospital and Teaching Hospital,GHP000000000000000000,GHP000,772,Ridge Hospital,Ridge,2,Accra,-1,-1,Ridge Hospital,-0.1987,5.56238,c(-0.198699999814724  5.56237999977087),GREATER ACCRA,ACCRA METROPOLIS,,67,yes,0
200,Bolgatanga Regional Hospital,MIDWIFERY TRAINING SCH.BOLGA,0.0191669,NA,MIDWIFERY TRAINING SCH.BOLGA,NA,NA,NA,NA,NA,NA,NA,-0.86319,10.80552,fac,c(-0.863190000378684,10.8055199998709),GHH01224,8,Training Institute,Training Institute,Teaching Hospital,NA,Teaching Hospital,Training Institute,GHP007002000000000000,GHP007,1224,MIDWIFERY TRAINING SCH.BOLGA,BOLGATANGA,44,Bolgatanga,-1,-1,MIDWIFERY TRAINING SCH.BOLGA,-0.86319,10.80552,c(-0.863190000378684  10.8055199998709),UPPER EAST,BOLGATANGA MUNICIPAL,,2346,no,0
214,Bolgatanga Regional Hospital,NAVRONGO CHNTS,0.262874,NA,NAVRONGO CHNTS,NA,NA,NA,NA,NA,NA,NA,-1.08979,10.89852,fac,c(-1.0897900002551,10.8985200001627),GHH01121,8,Training Institute,Training Institute,Teaching Hospital,NA,Teaching Hospital,Training Institute,GHP007004000000000000,GHP007,1121,NAVRONGO CHNTS,NAVRONGO,75,Kassena-Nankana,-1,-1,NAVRONGO CHNTS,-1.08979,10.89852,c(-1.0897900002551  10.8985200001627),UPPER EAST,KASENA NANKANA EAST,,2278,no,0
227,Bolgatanga Regional Hospital,NTC BOLGA,0.0217194,NA,NTC BOLGA,NA,NA,NA,NA,NA,NA,NA,-0.85969,10.81136,fac,c(-0.859689999640039,10.8113600004332),GHH01225,8,Training Institute,Training Institute,Teaching Hospital,NA,Teaching Hospital,Training Institute,GHP007002000000000000,GHP007,1225,NTC BOLGA,BOLGATANGA,44,Bolgatanga,-1,-1,NTC BOLGA,-0.85969,10.81136,c(-0.859689999640039  10.8113600004332),UPPER EAST,BOLGATANGA MUNICIPAL,,2345,no,0
320,Tamale Regional Hospital,Tamale Central  Hospital,0.366166,Tamale Central  Hospital,NA,Northern,Tamale Central  Hospital,Teaching Hospital,MoH,GPS,9.24188,-0.50141,NA,NA,maina,c(NA,NA),NA,NA,Hospital and Teaching Hospital,Hospital and Teaching Hospital,NA,Teaching Hospital,Teaching Hospital,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tamale Central  Hospital,-0.50141,9.24188,c(-0.50141 9.24188),SAVANNAH,EAST GONJA MUNICIPAL,,2781,no,0
79,Effia Nkwanta Regional Hospital,COMMUNITY H.NURSING TRN.SCHOOL,0.60924,NA,COMMUNITY H.NURSING TRN.SCHOOL,NA,NA,NA,NA,NA,NA,NA,-2.35363,4.94005,fac,c(-2.35362999985832,4.940049999979),GHH01781,8,Training Institute,Training Institute,Teaching Hospital,NA,Teaching Hospital,Training Institute,GHP010001000000000000,GHP010,1781,COMMUNITY H.NURSING TRN.SCHOOL,ESSIAMA,100,Nzema East,-1,-1,COMMUNITY H.NURSING TRN.SCHOOL,-2.35363,4.94005,c(-2.35362999985832  4.940049999979),WESTERN,ELLEMBELLE,,1077,no,0
213,Effia Nkwanta Regional Hospital,National Cold Room,0.773446,NA,National Cold Room,NA,NA,NA,NA,NA,NA,NA,-2.5143633,5,fac,c(-2.51436329977278,5.00000000022751),GHH00971,8,Training Institute,Training Institute,Teaching Hospital,NA,Teaching Hospital,Training Institute,GHP000000000000000000,GHP000,971,National Cold Room,Korle-bu,100,Nzema East,-1,-1,National Cold Room,-2.5143633,5,c(-2.51436329977278  5.00000000022751),WESTERN,ELLEMBELLE,,1076,no,0
63,Ridge Hospital,Biomedical Department,0.0406276,NA,Biomedical Department,NA,NA,NA,NA,NA,NA,NA,-0.22959,5.53599,fac,c(-0.229590000078789,5.53598999964698),GHH00968,8,Training Institute,Training Institute,Teaching Hospital,NA,Teaching Hospital,Training Institute,GHP000000000000000000,GHP000,968,Biomedical Department,Korle-bu,2,Accra,-1,-1,Biomedical Department,-0.22959,5.53599,c(-0.229590000078789  5.53598999964698),GREATER ACCRA,ACCRA METROPOLIS,,498,no,0
162,Ridge Hospital,Korle-Bu Polyclinic,0.0375891,Korle-Bu Polyclinic,Korle-bu Teaching Hospital,Greater Accra,Korle-Bu Polyclinic,Teaching Hospital,MoH,Combination,5.535355,-0.22929,-0.2266,5.53719,both,c(-0.226599999876415,5.53718999960305),GHH01090,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,Teaching Hospital,District and Teaching Hospital,Hospital and Teaching Hospital,GHP000000000000000000,GHP000,1090,Korle-bu Teaching Hospital,Korle-bu,2,Accra,-1,-1,Korle-Bu Polyclinic,-0.2266,5.53719,c(-0.226599999876415  5.53718999960305),GREATER ACCRA,ACCRA METROPOLIS,,503,no,0
179,Ridge Hospital,Limb Fitting Centre,0.0139396,NA,Limb Fitting Centre,NA,NA,NA,NA,NA,NA,NA,-0.19999,5.5485,fac,c(-0.19999000032567,5.54849999978784),GHH00969,8,Training Institute,Training Institute,Teaching Hospital,NA,Teaching Hospital,Training Institute,GHP000000000000000000,GHP000,969,Limb Fitting Centre,Tema Station (near Lotteries),2,Accra,-1,-1,Limb Fitting Centre,-0.19999,5.5485,c(-0.19999000032567  5.54849999978784),GREATER ACCRA,ACCRA METROPOLIS,,496,no,0
205,Ridge Hospital,MOH Headquarters,0.0103346,NA,MOH Headquarters,NA,NA,NA,NA,NA,NA,NA,-0.19651,5.55228,fac,c(-0.196509999678535,5.55227999958031),GHH00966,8,Training Institute,Training Institute,Teaching Hospital,NA,Teaching Hospital,Training Institute,GHP000000000000000000,GHP000,966,MOH Headquarters,Ministries (Osu),2,Accra,-1,-1,MOH Headquarters,-0.19651,5.55228,c(-0.196509999678535  5.55227999958031),GREATER ACCRA,ACCRA METROPOLIS,,500,no,0
337,Ridge Hospital,University of Ghana Medical School,0.0387957,NA,University of Ghana Medical School,NA,NA,NA,NA,NA,NA,NA,-0.22933,5.53857,fac,c(-0.22932999978781,5.53856999989341),GHH00886,8,Training Institute,Training Institute,Teaching Hospital,NA,Teaching Hospital,Training Institute,GHP000000000000000000,GHP000,886,University of Ghana Medical School,Korle-bu,2,Accra,-1,-1,University of Ghana Medical School,-0.22933,5.53857,c(-0.22932999978781  5.53856999989341),GREATER ACCRA,ACCRA METROPOLIS,,506,no,0
160,Kumasi South Government Regional Hospital,Komfo Anokye Teaching Hospital,0.0636917,Komfo Anokye Teaching Hospital,NA,Ashanti,Komfo Anokye Teaching Hospital,Teaching Hospital,MoH,GPS,6.69715,-1.63015,NA,NA,maina,c(NA,NA),NA,NA,Hospital and Teaching Hospital,Hospital and Teaching Hospital,NA,Teaching Hospital,Regional Hospital,Teaching Hospital,NA,NA,NA,NA,NA,NA,NA,NA,NA,Komfo Anokye Teaching Hospital,-1.63015,6.69715,c(-1.63015 6.69715),ASHANTI,KUMASI METROPOLITAN,,2419,no,0
78,Sunyani Regional Hospital,Comm. Health Nursing Trg. Sch.,0.109256,NA,Comm. Health Nursing Trg. Sch.,NA,NA,NA,NA,NA,NA,NA,-2.236,7.2683,fac,c(-2.2359999998764,7.26830000022225),GHH00041,8,Training Institute,Training Institute,Teaching Hospital,NA,Teaching Hospital,Training Institute,GHP002010000000000000,GHP002,41,Comm. Health Nursing Trg. Sch.,tanoso,121,Tano North,-1,-1,Comm. Health Nursing Trg. Sch.,-2.236,7.2683,c(-2.2359999998764  7.26830000022225),AHAFO,TANO NORTH MUNICIPAL,,1920,no,0
10795,Volta Regional Hospital,Ada East District Hospital,0.71847,,,,,District Hospital,,,,,,,Other,,,,,,,,,District Hospital,,,,,,,,,,,Ada East District Hospital,0.56916,5.88872,,GREATER ACCRA,ADA EAST,Ada  East District Hospital,10795,no,0
0,Sunyani Regional Hospital,Bomaa District Hospital,0.36562,,,,,District Hospital,,,,,,,Other,,,,,,,,,District Hospital,,,,,,,,,,,Bomaa District Hospital,-2.16578,7.01046,,AHAFO,TANO NORTH MUNICIPAL,Bomaa,0,no,0
10808,Bolgatanga Regional Hospital,Talensi District Hospital,0.0955811,,,,,District Hospital,,,,,,,WHO-TIME,,,,,,,,,District Hospital,,,,,,,,,,,Talensi District Hospital,-0.79462,10.7139,,UPPER EAST,TALENSI,Tongo,10808,no,0
10803,Tamale Regional Hospital,Karaga District Hospital,0.652925,,,,,District Hospital,,,,,,,WHO-TIME,,,,,,,,,District Hospital,,,,,,,,,,,Karaga District Hospital,-0.43159,9.91563,,NORTHERN,KARAGA,Karaga,10803,no,0
4400,Sunyani Regional Hospital,Nsawkaw Hospital,0.522076,,,,,District Hospital,,,,,,,WHO-TIME,,,,,,,,,District Hospital,,,,,,,,,,,Nsawkaw Hospital,-2.31667,7.86667,,BONO,TAIN,Nsawkaw,4400,no,0
