longitude, Latitude ,population,travelTime
-3.24708,11.1646, 0, 0
-3.23042,11.1646, 0, 0
-3.21375,11.1646, 0, 0
-3.19708,11.1646, 0, 0
-3.18042,11.1646, 0, 0
-3.16375,11.1646, 0, 0
-3.14708,11.1646, 0, 0
-3.13042,11.1646, 0, 0
-3.11375,11.1646, 0, 0
-3.09708,11.1646, 0, 0
-3.08042,11.1646, 0, 0
-3.06375,11.1646, 0, 0
-3.04708,11.1646, 0, 0
-3.03042,11.1646, 0, 0
-3.01375,11.1646, 0, 0
-2.99708,11.1646, 0, 0
-2.98042,11.1646, 0, 0
-2.96375,11.1646, 0, 0
-2.94708,11.1646, 0, 0
-2.93042,11.1646, 0, 0
-2.91375,11.1646, 0, 0
-2.89708,11.1646, 0, 0
-2.88042,11.1646, 0, 0
-2.86375,11.1646, 0, 0
-2.84708,11.1646, 0, 0
-2.83042,11.1646, 0, 0
-2.81375,11.1646, 0, 0
-2.79708,11.1646, 0, 0
-2.78042,11.1646, 0, 0
-2.76375,11.1646, 0, 0
-2.74708,11.1646, 0, 0
-2.73042,11.1646, 0, 0
-2.71375,11.1646, 0, 0
-2.69708,11.1646, 0, 0
-2.68042,11.1646, 0, 0
-2.66375,11.1646, 0, 0
-2.64708,11.1646, 0, 0
-2.63042,11.1646, 0, 0
-2.61375,11.1646, 0, 0
-2.59708,11.1646, 0, 0
-2.58042,11.1646, 0, 0
-2.56375,11.1646, 0, 0
-2.54708,11.1646, 0, 0
-2.53042,11.1646, 0, 0
-2.51375,11.1646, 0, 0
-2.49708,11.1646, 0, 0
-2.48042,11.1646, 0, 0
-2.46375,11.1646, 0, 0
-2.44708,11.1646, 0, 0
-2.43042,11.1646, 0, 0
-2.41375,11.1646, 0, 0
-2.39708,11.1646, 0, 0
-2.38042,11.1646, 0, 0
-2.36375,11.1646, 0, 0
-2.34708,11.1646, 0, 0
-2.33042,11.1646, 0, 0
-2.31375,11.1646, 0, 0
-2.29708,11.1646, 0, 0
-2.28042,11.1646, 0, 0
-2.26375,11.1646, 0, 0
-2.24708,11.1646, 0, 0
-2.23042,11.1646, 0, 0
-2.21375,11.1646, 0, 0
-2.19708,11.1646, 0, 0
-2.18042,11.1646, 0, 0
-2.16375,11.1646, 0, 0
-2.14708,11.1646, 0, 0
-2.13042,11.1646, 0, 0
-2.11375,11.1646, 0, 0
-2.09708,11.1646, 0, 0
-2.08042,11.1646, 0, 0
-2.06375,11.1646, 0, 0
-2.04708,11.1646, 0, 0
-2.03042,11.1646, 0, 0
-2.01375,11.1646, 0, 0
-1.99708,11.1646, 0, 0
-1.98042,11.1646, 0, 0
-1.96375,11.1646, 0, 0
-1.94708,11.1646, 0, 0
-1.93042,11.1646, 0, 0
-1.91375,11.1646, 0, 0
-1.89708,11.1646, 0, 0
-1.88042,11.1646, 0, 0
-1.86375,11.1646, 0, 0
-1.84708,11.1646, 0, 0
-1.83042,11.1646, 0, 0
-1.81375,11.1646, 0, 0
-1.79708,11.1646, 0, 0
-1.78042,11.1646, 0, 0
-1.76375,11.1646, 0, 0
-1.74708,11.1646, 0, 0
-1.73042,11.1646, 0, 0
-1.71375,11.1646, 0, 0
-1.69708,11.1646, 0, 0
-1.68042,11.1646, 0, 0
-1.66375,11.1646, 0, 0
-1.64708,11.1646, 0, 0
-1.63042,11.1646, 0, 0
-1.61375,11.1646, 0, 0
-1.59708,11.1646, 0, 0
-1.58042,11.1646, 0, 0
-1.56375,11.1646, 0, 0
-1.54708,11.1646, 0, 0
-1.53042,11.1646, 0, 0
-1.51375,11.1646, 0, 0
-1.49708,11.1646, 0, 0
-1.48042,11.1646, 0, 0
-1.46375,11.1646, 0, 0
-1.44708,11.1646, 0, 0
-1.43042,11.1646, 0, 0
-1.41375,11.1646, 0, 0
-1.39708,11.1646, 0, 0
-1.38042,11.1646, 0, 0
-1.36375,11.1646, 0, 0
-1.34708,11.1646, 0, 0
-1.33042,11.1646, 0, 0
-1.31375,11.1646, 0, 0
-1.29708,11.1646, 0, 0
-1.28042,11.1646, 0, 0
-1.26375,11.1646, 0, 0
-1.24708,11.1646, 0, 0
-1.23042,11.1646, 0, 0
-1.21375,11.1646, 0, 0
-1.19708,11.1646, 0, 0
-1.18042,11.1646, 0, 0
-1.16375,11.1646, 0, 0
-1.14708,11.1646, 0, 0
-1.13042,11.1646, 0, 0
-1.11375,11.1646, 0, 0
-1.09708,11.1646, 0, 0
-1.08042,11.1646, 0, 0
-1.06375,11.1646, 0, 0
-1.04708,11.1646, 0, 0
-1.03042,11.1646, 0, 0
-1.01375,11.1646, 0, 0
-0.997083,11.1646, 0, 0
-0.980417,11.1646, 0, 0
-0.96375,11.1646, 0, 0
-0.947083,11.1646, 0, 0
